,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Atlético Madrid,42,23,10,9,68,44,79,22
1,2,Racing Santander,42,19,14,9,58,37,71,22
2,3,Recreativo,42,18,15,9,47,35,69,22
3,4,Xerez,42,19,9,14,43,42,66,22
4,5,Elche,42,17,14,11,52,39,65,22
5,6,Sporting Gijón,42,17,13,12,57,47,64,22
6,7,Eibar,42,14,16,12,41,27,58,22
7,8,Real Oviedo,42,13,19,10,41,40,58,22
8,9,Albacete,42,15,11,16,43,42,56,22
9,10,Racing de Ferrol,42,16,8,18,58,60,56,22
10,11,Salamanca,42,13,15,14,52,53,54,22
11,12,Córdoba,42,14,11,17,46,51,53,22
12,13,Leganés,42,13,14,15,40,46,53,22
13,14,Badajoz,42,15,8,19,43,52,53,22
14,15,Real Murcia,42,12,16,14,37,38,52,22
15,16,Burgos CF,42,12,16,14,31,37,52,22
16,17,Numancia,42,13,12,17,45,53,51,22
17,18,Poli Ejido,42,12,14,16,41,48,50,22
18,19,Levante,42,12,14,16,41,54,50,22
19,20,Nàstic,42,12,13,17,45,49,49,22
20,21,CF Extremadura,42,10,13,19,37,50,43,22
21,22,Real Jaén,42,11,9,22,30,52,42,22
