,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Deportivo,42,26,9,7,59,35,87,28
1,2,Mallorca,42,22,13,7,52,28,79,28
2,3,Deportivo,42,21,11,10,51,31,74,28
3,4,Málaga,42,19,14,9,54,38,71,28
4,5,Mallorca,42,19,12,11,53,37,69,28
5,6,Albacete,42,17,17,8,50,32,68,28
6,7,Osasuna,42,16,16,10,53,36,64,28
7,8,Granada,42,17,12,13,48,48,63,28
8,9,Málaga,42,16,13,13,43,38,61,28
9,10,Albacete,42,15,15,12,51,39,60,28
10,11,Mallorca,42,13,16,13,49,52,55,28
11,12,Deportivo,42,12,18,12,48,50,54,28
12,13,Cádiz,42,14,11,17,43,47,53,28
13,14,Real Oviedo,42,14,10,18,36,42,52,28
14,15,Sporting Gijón,42,13,12,17,49,51,51,28
15,16,Almería,42,11,17,14,40,50,50,28
16,17,Elche,42,11,16,15,44,50,49,28
17,18,Las Palmas,42,10,17,15,43,51,47,28
18,19,Extremadura UD,42,12,9,21,46,61,45,28
19,20,AD Alcorcón ,42,9,9,24,30,63,36,28
20,21,Real Zaragoza,42,7,13,22,48,79,34,28
21,22,Tenerife,42,5,6,31,16,48,0,28
22,23,Numancia,,,,,,,,28
23,24,Lugo,,,,,,,,28
24,25,Rayo Majadahonda,,,,,,,,28
25,26,Nàstic,,,,,,,,28
26,27,Córdoba,,,,,,,,28
27,28,CF Reus,,,,,,,,28
