,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,AD Alcorcón,42,29,4,9,76,45,91,28
1,2,Valladolid,42,26,7,9,83,37,85,28
2,3,Hércules,42,23,13,6,69,37,82,28
3,4,AD Alcorcón,42,21,10,11,58,42,73,28
4,5,Córdoba,42,22,6,14,62,43,72,28
5,6,Valladolid,42,20,11,11,52,43,71,28
6,7,Deportivo,42,18,16,8,63,43,70,28
7,8,Celta de Vigo,42,16,11,15,63,53,59,28
8,9,Valladolid,42,16,10,16,58,59,58,28
9,10,AD Alcorcón ,42,15,12,15,54,52,57,28
10,11,Hércules,42,17,6,19,56,58,57,28
11,12,Córdoba,42,14,10,18,54,64,52,28
12,13,Almería,42,14,9,19,49,63,51,28
13,14,Barcelona B,42,13,11,18,50,66,50,28
14,15,Las Palmas,42,12,13,17,58,61,49,28
15,16,Numancia,42,14,7,21,50,75,49,28
16,17,Elche,42,12,11,19,49,52,47,28
17,18,Villarreal B,42,13,8,21,49,67,47,28
18,19,Huesca,42,11,13,18,45,64,46,28
19,20,Xerez,42,9,13,20,37,58,40,28
20,21,Girona,42,9,10,23,46,78,37,28
21,22,Guadalajara,42,6,13,23,37,58,31,28
22,23,Recreativo,,,,,,,,28
23,24,Real Murcia,,,,,,,,28
24,25,Sabadell,,,,,,,,28
25,26,Cartagena,,,,,,,,28
26,27,Alcoyano,,,,,,,,28
27,28,Nàstic,,,,,,,,28
