,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Charleroi,34,23,5,6,64,34,74,18
1,2,Waasland-Beveren,34,21,5,8,61,34,68,18
2,3,Eupen,34,19,11,4,61,34,68,18
3,4,Oostende,34,19,9,6,61,29,66,18
4,5,Lommel SK,34,15,7,12,48,42,52,18
5,6,White Star,34,14,9,11,48,43,51,18
6,7,KSK Heist,34,11,13,10,46,46,46,18
7,8,Eendracht Aalst,34,13,7,14,46,52,46,18
8,9,RCS Visé,34,12,8,14,44,41,44,18
9,10,Royal Antwerp,34,12,7,15,39,42,43,18
10,11,RFC Seraing,34,12,6,16,44,54,42,18
11,12,AFC Tubize,34,12,5,17,36,55,41,18
12,13,KSV Roeselare,34,9,13,12,46,51,40,18
13,14,FC Brussels,34,9,11,14,44,46,38,18
14,15,SKN Sint-Niklaas,34,8,10,16,41,54,34,18
15,16,FCV Dender,34,6,15,13,33,43,33,18
16,17,KVK Tienen,34,9,6,19,34,61,33,18
17,18,Wetteren,34,4,9,21,19,54,21,18
