,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Genk,10,6,2,2,19,8,52,38
1,2,Club Brugge,10,7,1,2,19,11,50,38
2,3,Royal Antwerp,10,4,2,4,12,16,39,38
3,4,Standard Liège,9,3,1,5,12,16,37,38
4,5,Gent,10,3,1,6,10,15,35,38
5,6,Anderlecht,9,1,3,5,8,14,32,38
6,7,Royal Antwerp,30,18,9,3,63,31,22,38
7,8,Charleroi,30,16,8,6,64,32,17,38
8,9,Kortrijk,30,15,8,7,49,35,12,38
9,10,Charleroi,30,15,6,9,49,34,12,38
10,11,Charleroi,30,15,5,10,53,45,11,38
11,12,Sint-Truiden,30,14,7,9,39,34,8,38
12,13,Westerlo,30,12,11,7,47,36,24,38
13,14,Oostende,30,12,7,11,44,42,20,38
14,15,Eupen,30,12,6,12,43,43,13,38
15,16,KFCO Beerschot Wilrijk,30,11,7,12,33,33,13,38
16,17,Kortrijk,30,8,9,13,49,60,8,38
17,18,Union St. Gilloise,30,10,2,18,34,57,7,38
18,19,Zulte Waregem,30,7,7,16,35,59,63,38
19,20,Waasland-Beveren,30,5,12,13,37,50,56,38
20,21,RE Mouscron,30,6,9,15,29,52,53,38
21,22,Cercle Brugge,30,5,5,20,28,53,51,38
22,23,Genk,,,,,,,50,38
23,24,Club Brugge,,,,,,,49,38
24,25,Standard Liège,,,,,,,47,38
25,26,Anderlecht,,,,,,,43,38
26,27,Gent,,,,,,,42,38
27,28,Royal Antwerp,,,,,,,40,38
28,29,Sint-Truiden,,,,,,,33,38
29,30,Kortrijk,,,,,,,32,38
30,31,Charleroi,,,,,,,28,38
31,32,RE Mouscron,,,,,,,27,38
32,33,Zulte Waregem,,,,,,,27,38
33,34,Eupen,,,,,,,20,38
34,35,Cercle Brugge,,,,,,,,38
35,36,Waasland-Beveren,,,,,,,,38
36,37,Oostende,,,,,,,,38
37,38,Lokeren,,,,,,,,38
