,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Luton Town,46.0,29.0,11.0,6.0,87.0,48.0,98.0,24
1,2,Hull City,46.0,26.0,8.0,12.0,80.0,53.0,86.0,24
2,3,Tranmere Rovers,46.0,22.0,13.0,11.0,73.0,55.0,79.0,24
3,4,Brentford,46.0,22.0,9.0,15.0,57.0,60.0,75.0,24
4,5,Sheffield Wed.,46.0,19.0,15.0,12.0,77.0,59.0,72.0,24
5,6,Hartlepool United,46.0,21.0,8.0,17.0,76.0,66.0,71.0,24
6,7,Bristol City,46.0,18.0,16.0,12.0,74.0,57.0,70.0,24
7,8,AFC Bournemouth,46.0,20.0,10.0,16.0,77.0,64.0,70.0,24
8,9,Huddersfield Town,46.0,20.0,10.0,16.0,74.0,65.0,70.0,24
9,10,Doncaster Rovers,46.0,16.0,18.0,12.0,65.0,60.0,66.0,24
10,11,Bradford City,46.0,17.0,14.0,15.0,64.0,62.0,65.0,24
11,12,Swindon Town,46.0,17.0,12.0,17.0,66.0,68.0,63.0,24
12,13,Barnsley,46.0,14.0,19.0,13.0,69.0,64.0,61.0,24
13,14,Walsall,46.0,16.0,12.0,18.0,65.0,69.0,60.0,24
14,15,Colchester,46.0,14.0,17.0,15.0,60.0,50.0,59.0,24
15,16,Blackpool,46.0,15.0,12.0,19.0,54.0,59.0,57.0,24
16,17,Chesterfield,46.0,14.0,15.0,17.0,55.0,62.0,57.0,24
17,18,Port Vale,46.0,17.0,5.0,24.0,49.0,59.0,56.0,24
18,19,Oldham Athletic,46.0,14.0,10.0,22.0,60.0,73.0,52.0,24
19,20,MK Dons,46.0,12.0,15.0,19.0,54.0,68.0,51.0,24
20,21,Torquay United,46.0,12.0,15.0,19.0,55.0,79.0,51.0,24
21,22,Wrexham,46.0,13.0,14.0,19.0,62.0,80.0,43.0,24
22,23,Peterborough United,46.0,9.0,12.0,25.0,49.0,73.0,39.0,24
23,24,Stockport County,46.0,6.0,8.0,32.0,49.0,98.0,26.0,24
