,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Swansea City,46.0,27.0,11.0,8.0,82.0,42.0,92.0,24
1,2,Nottingham Forest,46.0,22.0,16.0,8.0,64.0,32.0,82.0,24
2,3,Doncaster Rovers,46.0,23.0,11.0,12.0,65.0,41.0,80.0,24
3,4,Carlisle United,46.0,23.0,11.0,12.0,64.0,46.0,80.0,24
4,5,Leeds United,46.0,27.0,10.0,9.0,72.0,38.0,76.0,24
5,6,Southend United,46.0,22.0,10.0,14.0,70.0,55.0,76.0,24
6,7,Brighton & Hove Albion,46.0,19.0,12.0,15.0,58.0,50.0,69.0,24
7,8,Oldham Athletic,46.0,18.0,13.0,15.0,58.0,46.0,67.0,24
8,9,Northampton Town,46.0,17.0,15.0,14.0,60.0,55.0,66.0,24
9,10,Huddersfield Town,46.0,20.0,6.0,20.0,50.0,62.0,66.0,24
10,11,Tranmere Rovers,46.0,18.0,11.0,17.0,52.0,47.0,65.0,24
11,12,Walsall,46.0,16.0,16.0,14.0,52.0,46.0,64.0,24
12,13,Swindon Town,46.0,16.0,13.0,17.0,63.0,56.0,61.0,24
13,14,Leyton Orient,46.0,16.0,12.0,18.0,49.0,63.0,60.0,24
14,15,AFC Bournemouth,46.0,17.0,7.0,22.0,62.0,72.0,58.0,24
15,16,Hartlepool United,46.0,15.0,9.0,22.0,63.0,66.0,54.0,24
16,17,Bristol Rovers,46.0,12.0,17.0,17.0,45.0,53.0,53.0,24
17,18,Millwall,46.0,14.0,10.0,22.0,45.0,60.0,52.0,24
18,19,Yeovil Town,46.0,14.0,10.0,22.0,38.0,59.0,52.0,24
19,20,Cheltenham Town,46.0,13.0,12.0,21.0,42.0,64.0,51.0,24
20,21,Crewe Alexandra,46.0,12.0,14.0,20.0,47.0,65.0,50.0,24
21,22,Gillingham,46.0,11.0,13.0,22.0,44.0,73.0,46.0,24
22,23,Luton Town,46.0,11.0,10.0,25.0,43.0,63.0,43.0,24
23,24,Port Vale,46.0,9.0,11.0,26.0,47.0,81.0,38.0,24
