,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Brighton & Hove Albion,46.0,25.0,15.0,6.0,66.0,42.0,90.0,24
1,2,Reading,46.0,23.0,15.0,8.0,70.0,43.0,84.0,24
2,3,Brentford,46.0,24.0,11.0,11.0,77.0,43.0,83.0,24
3,4,Cardiff City,46.0,23.0,14.0,9.0,75.0,50.0,83.0,24
4,5,Stoke City,46.0,23.0,11.0,12.0,67.0,40.0,80.0,24
5,6,Huddersfield Town,46.0,21.0,15.0,10.0,65.0,47.0,78.0,24
6,7,Bristol City,46.0,21.0,10.0,15.0,68.0,53.0,73.0,24
7,8,QPR,46.0,19.0,14.0,13.0,60.0,49.0,71.0,24
8,9,Oldham Athletic,46.0,18.0,16.0,12.0,77.0,65.0,70.0,24
9,10,Wigan Athletic,46.0,16.0,16.0,14.0,66.0,51.0,64.0,24
10,11,Wycombe Wanderers,46.0,17.0,13.0,16.0,58.0,64.0,64.0,24
11,12,Tranmere Rovers,46.0,16.0,15.0,15.0,63.0,60.0,63.0,24
12,13,Swindon Town,46.0,15.0,14.0,17.0,46.0,56.0,59.0,24
13,14,Port Vale,46.0,16.0,10.0,20.0,51.0,62.0,58.0,24
14,15,Colchester,46.0,15.0,12.0,19.0,65.0,76.0,57.0,24
15,16,Blackpool,46.0,14.0,14.0,18.0,66.0,69.0,56.0,24
16,17,Peterborough United,46.0,15.0,10.0,21.0,64.0,59.0,55.0,24
17,18,Chesterfield,46.0,13.0,13.0,20.0,53.0,65.0,52.0,24
18,19,Notts County,46.0,13.0,11.0,22.0,59.0,71.0,50.0,24
19,20,Northampton Town,46.0,14.0,7.0,25.0,54.0,79.0,49.0,24
20,21,AFC Bournemouth,46.0,10.0,14.0,22.0,56.0,71.0,44.0,24
21,22,Bury,46.0,11.0,11.0,24.0,43.0,75.0,44.0,24
22,23,Wrexham,46.0,11.0,10.0,25.0,56.0,89.0,43.0,24
23,24,Cambridge United,46.0,7.0,13.0,26.0,47.0,93.0,34.0,24
