,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Plymouth Argyle,46.0,26.0,12.0,8.0,85.0,41.0,90.0,24
1,2,QPR,46.0,22.0,17.0,7.0,80.0,45.0,83.0,24
2,3,Bristol City,46.0,23.0,13.0,10.0,58.0,37.0,82.0,24
3,4,Brighton & Hove Albion,46.0,22.0,11.0,13.0,64.0,43.0,77.0,24
4,5,Swindon Town,46.0,20.0,13.0,13.0,76.0,58.0,73.0,24
5,6,Hartlepool United,46.0,20.0,13.0,13.0,76.0,61.0,73.0,24
6,7,Port Vale,46.0,21.0,10.0,15.0,73.0,63.0,73.0,24
7,8,Tranmere Rovers,46.0,17.0,16.0,13.0,59.0,56.0,67.0,24
8,9,AFC Bournemouth,46.0,17.0,15.0,14.0,56.0,51.0,66.0,24
9,10,Luton Town,46.0,17.0,15.0,14.0,69.0,66.0,66.0,24
10,11,Colchester,46.0,17.0,13.0,16.0,52.0,56.0,64.0,24
11,12,Barnsley,46.0,15.0,17.0,14.0,54.0,58.0,62.0,24
12,13,Wrexham,46.0,17.0,9.0,20.0,50.0,60.0,60.0,24
13,14,Blackpool,46.0,16.0,11.0,19.0,58.0,65.0,59.0,24
14,15,Oldham Athletic,46.0,12.0,21.0,13.0,66.0,60.0,57.0,24
15,16,Sheffield Wed.,46.0,13.0,14.0,19.0,48.0,64.0,53.0,24
16,17,Brentford,46.0,14.0,11.0,21.0,52.0,69.0,53.0,24
17,18,Peterborough United,46.0,12.0,16.0,18.0,58.0,58.0,52.0,24
18,19,Stockport County,46.0,11.0,19.0,16.0,62.0,70.0,52.0,24
19,20,Chesterfield,46.0,12.0,15.0,19.0,49.0,71.0,51.0,24
20,21,Grimsby Town,46.0,13.0,11.0,22.0,55.0,81.0,50.0,24
21,22,Rushden,46.0,13.0,9.0,24.0,60.0,74.0,48.0,24
22,23,Notts County,46.0,10.0,12.0,24.0,50.0,78.0,42.0,24
23,24,Wycombe Wanderers,46.0,6.0,19.0,21.0,50.0,75.0,37.0,24
