,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Sochaux,38,21,12,5,67,27,75,20
1,2,Lorient,38,21,11,6,58,34,74,20
2,3,Montpellier,38,18,14,6,52,26,68,20
3,4,Chamois Niortais,38,15,14,9,58,44,59,20
4,5,Nancy,38,15,11,12,46,32,56,20
5,6,Châteauroux,38,14,14,10,50,38,56,20
6,7,Le Havre,38,14,14,10,48,42,56,20
7,8,Nimes,38,14,11,13,53,56,53,20
8,9,Laval,38,15,8,15,39,43,53,20
9,10,Gueugnon,38,13,11,14,44,50,50,20
10,11,AS Beauvais,38,11,14,13,38,42,47,20
11,12,AC Ajaccio,38,12,10,16,32,40,46,20
12,13,ES Wasquehal,38,11,12,15,37,40,45,20
13,14,Le Mans,38,9,18,11,37,45,45,20
14,15,Nice,38,13,6,19,39,56,45,20
15,16,US Créteil,38,10,13,15,37,43,43,20
16,17,Caen,38,11,10,17,38,53,43,20
17,18,FC Martigues,38,8,15,15,30,46,39,20
18,19,Cannes,38,8,10,20,45,66,34,20
19,20,Angers,38,7,12,19,35,60,33,20
