,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Evian TG,38,18,13,7,63,41,67,20
1,2,AC Ajaccio,38,17,13,8,45,37,64,20
2,3,Dijon,38,17,11,10,55,40,62,20
3,4,Le Mans,38,17,11,10,48,37,62,20
4,5,CS Sedan,38,15,14,9,57,37,59,20
5,6,Angers,38,14,15,9,41,32,57,20
6,7,Clermont,38,12,16,10,51,49,52,20
7,8,US Boulogne,38,13,13,12,35,41,52,20
8,9,Le Havre,38,12,13,13,43,38,49,20
9,10,Stade de Reims,38,12,13,13,53,51,49,20
10,11,Istres FC,38,12,13,13,45,47,49,20
11,12,Tours,38,13,10,15,52,59,49,20
12,13,Nantes,38,11,14,13,38,40,47,20
13,14,Châteauroux,38,12,11,15,41,47,47,20
14,15,Laval,38,11,14,13,36,43,47,20
15,16,Troyes,38,13,7,18,35,45,46,20
16,17,Metz,38,10,15,13,43,40,45,20
17,18,Vannes OC,38,12,8,18,39,61,44,20
18,19,Nimes,38,9,10,19,35,46,37,20
19,20,Grenoble,38,7,12,19,36,60,33,20
