,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bastia,38,21,8,9,61,36,71,20
1,2,Stade de Reims,38,18,11,9,54,37,65,20
2,3,Troyes,38,17,13,8,45,35,64,20
3,4,CS Sedan,38,15,14,9,56,45,59,20
4,5,Clermont,38,15,13,10,48,39,58,20
5,6,Tours,38,15,11,12,44,43,56,20
6,7,Guingamp,38,15,10,13,46,43,55,20
7,8,Monaco,38,13,13,12,41,48,52,20
8,9,Nantes,38,14,9,15,51,42,51,20
9,10,Istres FC,38,13,12,13,46,44,51,20
10,11,Angers,38,13,12,13,44,45,51,20
11,12,Lens,38,12,12,14,42,48,48,20
12,13,AC Arles,38,10,18,10,34,41,48,20
13,14,Châteauroux,38,14,6,18,38,54,48,20
14,15,Le Havre,38,11,14,13,38,34,47,20
15,16,Laval,38,12,11,15,46,50,47,20
16,17,Le Mans,38,11,12,15,39,40,45,20
17,18,Metz,38,10,12,16,30,44,42,20
18,19,US Boulogne,38,7,15,16,40,47,36,20
19,20,Amiens SC,38,4,14,20,29,57,26,20
