,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Monaco,34,20,5,9,69,38,65,18
1,2,Paris SG,34,16,10,8,54,40,58,18
2,3,Lyon,34,16,8,10,45,42,56,18
3,4,Bordeaux,34,15,9,10,52,40,54,18
4,5,Lens,34,14,7,13,42,41,49,18
5,6,Saint-Étienne,34,13,9,12,46,47,48,18
6,7,CS Sedan,34,13,9,12,43,44,48,18
7,8,Auxerre,34,13,8,13,37,39,47,18
8,9,RC Strasbourg,34,13,7,14,42,52,46,18
9,10,Bastia,34,11,12,11,43,39,45,18
10,11,Metz,34,9,17,8,38,33,44,18
11,12,Nantes,34,12,7,15,39,40,43,18
12,13,Rennes,34,12,7,15,44,48,43,18
13,14,Troyes,34,13,4,17,36,52,43,18
14,15,Marseille,34,9,15,10,45,45,42,18
15,16,Nancy,34,11,9,14,43,45,42,18
16,17,Le Havre,34,9,7,18,30,52,34,18
17,18,Montpellier,34,7,10,17,39,50,31,18
