,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Montpellier,38,25,7,6,68,34,82,20
1,2,Paris SG,38,23,10,5,75,41,79,20
2,3,Lille,38,21,11,6,72,39,74,20
3,4,Lyon,38,19,7,12,64,51,64,20
4,5,Bordeaux,38,16,13,9,53,41,61,20
5,6,Rennes,38,17,9,12,53,44,60,20
6,7,Saint-Étienne,38,16,9,13,49,45,57,20
7,8,Toulouse,38,15,11,12,37,34,56,20
8,9,Evian TG,38,13,11,14,54,55,50,20
9,10,Marseille,38,12,12,14,45,41,48,20
10,11,Nancy,38,11,12,15,38,48,45,20
11,12,Valenciennes,38,12,7,19,40,50,43,20
12,13,Nice,38,10,12,16,39,46,42,20
13,14,Sochaux,38,11,9,18,40,60,42,20
14,15,Brest,38,8,17,13,31,38,41,20
15,16,AC Ajaccio,38,9,14,15,40,61,41,20
16,17,Lorient,38,9,12,17,35,49,39,20
17,18,Caen,38,9,11,18,39,59,38,20
18,19,Dijon,38,9,9,20,38,63,36,20
19,20,Auxerre,38,7,13,18,46,57,34,20
