,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Lyon,38,24,7,7,74,37,79,20
1,2,Bordeaux,38,22,9,7,65,38,75,20
2,3,Marseille,38,17,11,10,58,45,62,20
3,4,Nancy,38,15,15,8,44,30,60,20
4,5,Saint-Étienne,38,16,10,12,47,34,58,20
5,6,Rennes,38,16,10,12,47,44,58,20
6,7,Lille,38,13,18,7,45,32,57,20
7,8,Nice,38,13,16,9,35,30,55,20
8,9,Le Mans,38,14,11,13,46,49,53,20
9,10,Lorient,38,12,16,10,32,35,52,20
10,11,Caen,38,13,12,13,48,53,51,20
11,12,Monaco,38,13,8,17,40,48,47,20
12,13,Valenciennes,38,12,9,17,42,40,45,20
13,14,Sochaux,38,10,14,14,34,43,44,20
14,15,Auxerre,38,12,8,18,33,52,44,20
15,16,Paris SG,38,10,13,15,37,45,43,20
16,17,Toulouse,38,9,15,14,36,42,42,20
17,18,Lens,38,9,13,16,43,52,40,20
18,19,RC Strasbourg,38,9,8,21,34,55,35,20
19,20,Metz,38,5,9,24,28,64,24,20
