,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Nantes,34,21,5,8,58,36,68,18
1,2,Lyon,34,17,13,4,57,30,64,18
2,3,Lille,34,16,11,7,43,27,59,18
3,4,Bordeaux,34,15,12,7,48,33,57,18
4,5,CS Sedan,34,14,10,10,47,40,52,18
5,6,Rennes,34,14,6,14,46,39,48,18
6,7,Troyes,34,11,13,10,45,47,46,18
7,8,Bastia,34,13,6,15,45,41,45,18
8,9,Paris SG,34,12,8,14,44,45,44,18
9,10,Guingamp,34,11,11,12,40,48,44,18
10,11,Monaco,34,12,7,15,53,50,43,18
11,12,Metz,34,11,10,13,37,44,43,18
12,13,Auxerre,34,11,8,15,31,41,41,18
13,14,Lens,34,9,13,12,37,39,40,18
14,15,Marseille,34,11,7,16,31,40,40,18
15,16,Saint-Étienne,34,9,10,15,43,56,37,18
16,17,Toulouse,34,8,10,16,34,50,34,18
17,18,RC Strasbourg,34,7,8,19,28,61,29,18
