,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Porto,30,21,7,2,61,18,70,16
1,2,Sporting,30,20,6,4,45,20,66,16
2,3,Benfica,30,17,8,5,54,32,59,16
3,4,Nacional,30,15,7,8,47,32,52,16
4,5,SC Braga,30,13,11,6,38,21,50,16
5,6,Leixões,30,12,9,9,30,31,45,16
6,7,Académica OAF,30,10,9,11,28,32,39,16
7,8,Vitória SC,30,10,8,12,32,36,38,16
8,9,Marítimo,30,9,10,11,35,36,37,16
9,10,Paços de Ferreira,30,9,7,14,37,42,34,16
10,11,Est. Amadora,30,8,10,12,26,38,31,16
11,12,Rio Ave,30,8,6,16,20,35,30,16
12,13,Naval,30,7,8,15,25,39,29,16
13,14,Vitória FC,30,7,5,18,21,46,26,16
14,15,Belenenses,30,5,9,16,28,52,24,16
15,16,Trofense,30,5,8,17,25,42,23,16
