,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Sporting,34,22,9,3,74,25,75,18
1,2,Boavista,34,21,7,6,53,20,70,18
2,3,FC Porto,34,21,5,8,66,34,68,18
3,4,Benfica,34,17,12,5,66,37,63,18
4,5,Belenenses,34,17,6,11,54,44,57,18
5,6,Marítimo,34,17,5,12,48,35,56,18
6,7,UD Leiria,34,15,10,9,52,35,55,18
7,8,Paços de Ferreira,34,12,10,12,41,44,46,18
8,9,SC Braga,34,10,12,12,43,43,42,18
9,10,Vitória SC,34,11,9,14,35,41,42,18
10,11,Beira-Mar,34,10,9,15,48,56,39,18
11,12,Vitória FC,34,9,11,14,40,46,38,18
12,13,Gil Vicente,34,10,8,16,42,56,38,18
13,14,Santa Clara,34,9,10,15,32,46,37,18
14,15,Varzim,34,8,8,18,27,55,32,18
15,16,SC Salgueiros,34,8,6,20,29,71,30,18
16,17,Farense,34,7,7,20,29,63,28,18
17,18,FC Alverca,34,7,6,21,39,67,27,18
