,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Benfica,34,28,3,3,103,31,87,18
1,2,FC Porto,34,27,4,3,74,20,85,18
2,3,Sporting,34,23,5,6,72,33,74,18
3,4,SC Braga,34,21,4,9,56,37,67,18
4,5,Vitória SC,34,15,7,12,46,34,52,18
5,6,Moreirense,34,16,4,14,39,44,52,18
6,7,Rio Ave,34,12,9,13,50,52,45,18
7,8,Boavista,34,13,5,16,34,40,44,18
8,9,B SAD,34,10,13,11,42,51,43,18
9,10,Santa Clara,34,11,9,14,43,45,42,18
10,11,Marítimo,34,12,3,19,26,44,39,18
11,12,Portimonense,34,11,6,17,44,59,39,18
12,13,Vitória FC,34,8,12,14,28,39,36,18
13,14,CD Aves,34,10,6,18,35,49,36,18
14,15,CD Tondela,34,9,8,17,40,54,35,18
15,16,GD Chaves,34,8,8,18,34,57,32,18
16,17,Nacional,34,7,7,20,33,73,28,18
17,18,Feirense,34,3,11,20,27,64,20,18
