;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;US Orléans;34;17;14;3;46;22;65;18
1;2;Luzenac AP;34;17;12;5;51;30;63;18
2;3;GFC Ajaccio;34;17;9;8;45;27;60;18
3;4;USL Dunkerque;34;12;14;8;35;30;50;18
4;5;SR Colmar;34;13;11;10;37;39;50;18
5;6;Amiens SC;34;12;13;9;32;24;49;18
6;7;Red Star;34;12;12;10;37;33;48;18
7;8;USJA Carquefou;34;11;14;9;32;30;47;18
8;9;Paris FC;34;11;13;10;32;27;46;18
9;10;Fréjus Saint-Raphaël;34;12;10;12;35;35;46;18
10;11;FC Bourg-Péronnas;34;11;10;13;38;45;43;18
11;12;VLF Luçon;34;10;11;13;32;41;41;18
12;13;Le Poiré-sur-Vie;34;11;8;15;37;52;41;18
13;14;US Boulogne;34;11;7;16;36;40;40;18
14;15;US Colomiers;34;10;9;15;39;39;39;18
15;16;Strasbourg;34;8;11;15;36;40;35;18
16;17;Vannes OC;34;6;14;14;35;45;28;18
17;18;Uzès Pont-du-Gard;34;5;8;21;25;61;23;18
