;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;Red Star;32;15;11;6;41;25;56;17
1;2;Avenir Béziers;32;13;13;6;41;29;52;17
2;3;Grenoble;32;13;12;7;33;23;51;17
3;4;Rodez;32;12;9;11;33;33;45;17
4;5;US Avranches;32;11;10;11;39;42;43;17
5;6;US Boulogne;32;10;13;9;36;34;42;17
6;7;SC Lyon;32;10;12;10;30;33;42;17
7;8;Laval;32;10;12;10;37;36;42;17
8;9;USL Dunkerque;32;11;11;10;39;39;41;17
9;10;Pau FC;32;9;13;10;43;37;40;17
10;11;Entente SSG;32;8;16;8;41;46;40;17
11;12;US Concarneau;32;9;13;10;38;38;40;17
12;13;FC Chambly;32;10;10;12;36;32;40;17
13;14;Les Herbiers;32;9;12;11;37;45;39;17
14;15;SO Cholet;32;10;9;13;49;53;39;17
15;16;GS Consolat;32;9;10;13;37;46;37;17
16;17;Créteil-Lusitanos;32;6;8;18;29;48;26;17
