,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Borussia Dortmund,34,25,6,3,80,25,81,18
1,2,Bayern München,34,23,4,7,77,22,73,18
2,3,Schalke 04,34,20,4,10,74,44,64,18
3,4,Borussia M´gladbach,34,17,9,8,49,24,60,18
4,5,Bayer Leverkusen,34,15,9,10,52,44,54,18
5,6,Stuttgart,34,15,8,11,63,46,53,18
6,7,Hannover 96,34,12,12,10,41,45,48,18
7,8,Wolfsburg,34,13,5,16,47,60,44,18
8,9,Werder Bremen,34,11,9,14,49,58,42,18
9,10,FC Nürnberg,34,12,6,16,38,49,42,18
10,11,TSG Hoffenheim,34,10,11,13,41,47,41,18
11,12,SC Freiburg,34,10,10,14,45,61,40,18
12,13,Mainz,34,9,12,13,47,51,39,18
13,14,FC Augsburg,34,8,14,12,36,49,38,18
14,15,Hamburger SV,34,8,12,14,35,57,36,18
15,16,Hertha BSC,34,7,10,17,38,64,31,18
16,17,FC Köln,34,8,6,20,39,75,30,18
17,18,Kaiserslautern,34,4,11,19,24,54,23,18
