;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;Vannes OC;38;20;9;9;47;31;69;20
1;2;Tours;38;18;11;9;53;31;65;20
2;3;Nimes;38;17;12;9;51;40;63;20
3;4;AS Cherbourg;38;17;10;11;47;37;61;20
4;5;FC Sète 34;38;14;14;10;39;29;56;20
5;6;Laval;38;13;16;9;48;40;55;20
6;7;Créteil-Lusitanos;38;12;15;11;47;35;51;20
7;8;Athletic Club Arlésien;38;12;15;11;37;36;51;20
8;9;AS Beauvais;38;13;12;13;44;44;51;20
9;10;Cannes;38;13;14;11;50;46;50;20
10;11;Paris FC;38;12;14;12;52;53;50;20
11;12;Istres FC;38;13;11;14;40;42;50;20
12;13;Entente SSG;38;15;5;18;46;52;50;20
13;14;Rodez;38;14;6;18;42;49;48;20
14;15;Calais RUFC;38;11;14;13;39;41;47;20
15;16;CS Louhans Cuiseaux;38;12;9;17;40;61;45;20
16;17;Villemomble;38;9;14;15;29;38;41;20
17;18;Pau FC;38;12;5;21;39;61;41;20
18;19;FC Martigues;38;9;13;16;40;48;40;20
19;20;SO Romorantin;38;8;13;17;31;47;37;20
