;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;Créteil-Lusitanos;38;23;7;8;68;44;76;20
1;2;Metz;38;20;10;8;62;37;70;20
2;3;CA Bastia;38;18;7;13;56;51;61;20
3;4;Fréjus Saint-Raphaël;38;16;12;10;52;43;60;20
4;5;FC Rouen;38;18;8;12;50;37;59;20
5;6;USJA Carquefou;38;15;12;11;53;35;57;20
6;7;Le Poiré-sur-Vie;38;15;12;11;47;35;57;20
7;8;US Orléans;38;16;9;13;43;40;57;20
8;9;Amiens SC;38;14;12;12;48;38;54;20
9;10;Vannes OC;38;12;15;11;45;34;51;20
10;11;SR Colmar;38;13;11;14;43;45;50;20
11;12;Luzenac AP;38;12;12;14;43;47;48;20
12;13;US Boulogne;38;11;14;13;46;44;47;20
13;14;Red Star;38;11;13;14;34;45;46;20
14;15;FC Bourg-Péronnas;38;12;9;17;28;40;45;20
15;16;Uzès Pont-du-Gard;38;10;13;15;31;47;43;20
16;17;Paris FC;38;8;16;14;38;56;40;20
17;18;SAS Epinal;38;8;15;15;45;56;39;20
