;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;Evian TG;38;26;7;5;64;26;85;20
1;2;Stade de Reims;38;21;8;9;63;30;71;20
2;3;Troyes;38;18;15;5;61;31;69;20
3;4;Créteil-Lusitanos;38;19;6;13;48;36;63;20
4;5;Pacy VEF;38;17;9;12;60;41;60;20
5;6;Paris FC;38;16;10;12;51;43;58;20
6;7;AS Beauvais;38;15;11;12;50;48;56;20
7;8;Stade Raphaëlois;38;14;12;12;44;34;54;20
8;9;Cannes;38;13;15;10;37;34;54;20
9;10;US Luzenac;38;15;8;15;51;48;53;20
10;11;Amiens SC;38;14;9;15;55;54;51;20
11;12;FC Rouen;38;12;14;12;47;43;50;20
12;13;Bayonne;38;13;11;14;41;47;50;20
13;14;Plabennec;38;13;11;14;41;55;50;20
14;15;Rodez;38;12;9;17;41;46;45;20
15;16;Gueugnon;38;11;9;18;41;47;42;20
16;17;AS Moulins;38;9;11;18;37;57;38;20
17;18;Hyères FC;38;7;14;17;32;55;35;20
