;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;Bastia;40;27;10;3;81;24;91;21
1;2;Amiens SC;40;24;12;4;58;27;84;21
2;3;Guingamp;40;23;11;6;87;36;80;21
3;4;RC Strasbourg;40;20;17;3;56;27;77;21
4;5;Cannes;40;18;14;8;51;35;68;21
5;6;Fréjus Saint-Raphaël;40;19;10;11;56;41;67;21
6;7;AS Beauvais;40;15;16;9;54;49;61;21
7;8;FC Rouen;40;15;14;11;54;44;59;21
8;9;US Orléans 45;40;13;14;13;43;40;53;21
9;10;Créteil-Lusitanos;40;13;12;15;41;48;51;21
10;11;Chamois Niortais;40;13;10;17;46;46;49;21
11;12;Paris FC;40;11;16;13;45;46;49;21
12;13;US Luzenac;40;12;13;15;39;44;49;21
13;14;Pacy VEF;40;13;8;19;41;47;47;21
14;15;SR Colmar;40;11;11;18;34;48;44;21
15;16;Gap HAFC;40;11;10;19;44;62;43;21
16;17;Bayonne;40;11;10;19;36;58;43;21
17;18;Rodez;40;11;7;22;41;63;40;21
