,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Vitesse,34.0,23.0,6.0,5.0,75.0,25.0,75.0,38
1,2,FC Utrecht,34.0,23.0,6.0,5.0,84.0,35.0,75.0,38
2,3,Vitesse,34.0,21.0,9.0,4.0,83.0,31.0,72.0,38
3,4,NEC,34.0,19.0,9.0,6.0,67.0,37.0,66.0,38
4,5,Vitesse,34.0,16.0,7.0,11.0,60.0,43.0,55.0,38
5,6,NAC Breda,34.0,15.0,9.0,10.0,47.0,36.0,54.0,38
6,7,Sparta Rotterdam,34.0,15.0,8.0,11.0,56.0,66.0,53.0,38
7,8,NEC,34.0,15.0,6.0,13.0,54.0,54.0,51.0,38
8,9,FC Utrecht,34.0,13.0,9.0,12.0,41.0,44.0,48.0,38
9,10,FC Groningen,34.0,12.0,8.0,14.0,36.0,44.0,44.0,38
10,11,FC Utrecht,34.0,12.0,7.0,15.0,43.0,54.0,43.0,38
11,12,Roda,34.0,10.0,8.0,16.0,50.0,55.0,38.0,38
12,13,FC Groningen,34.0,10.0,7.0,17.0,40.0,66.0,37.0,38
13,14,Feyenoord,34.0,7.0,11.0,16.0,32.0,64.0,32.0,38
14,15,AZ Alkmaar,34.0,8.0,7.0,19.0,31.0,64.0,31.0,38
15,16,Ajax,34.0,8.0,6.0,20.0,43.0,65.0,30.0,38
16,17,FC Twente,34.0,6.0,9.0,19.0,33.0,60.0,27.0,38
17,18,AZ Alkmaar,34.0,3.0,8.0,23.0,40.0,72.0,17.0,38
18,19,Heerenveen,,,,,,,,38
19,20,Ajax,,,,,,,,38
20,21,PSV,,,,,,,,38
21,22,Ajax,,,,,,,,38
22,23,AZ Alkmaar,,,,,,,,38
23,24,FC Twente,,,,,,,,38
24,25,Heerenveen,,,,,,,,38
25,26,Roda,,,,,,,,38
26,27,Feyenoord,,,,,,,,38
27,28,FC Groningen,,,,,,,,38
28,29,FC Utrecht,,,,,,,,38
29,30,NEC,,,,,,,,38
30,31,NAC Breda,,,,,,,,38
31,32,Vitesse,,,,,,,,38
32,33,Sparta Rotterdam,,,,,,,,38
33,34,Heracles Almelo,,,,,,,,38
34,35,Willem II,,,,,,,,38
35,36,Excelsior,,,,,,,,38
36,37,RKC Waalwijk,,,,,,,,38
37,38,ADO Den Haag,,,,,,,,38
