,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,19,6,9,62,37,63,18
1,2,Schalke 04,34,18,8,8,65,35,62,18
2,3,Borussia Dortmund,34,16,10,8,62,42,58,18
3,4,Bayer Leverkusen,34,17,6,11,54,40,57,18
4,5,Hertha BSC,34,18,2,14,58,52,56,18
5,6,SC Freiburg ,34,15,10,9,54,37,55,18
6,7,Werder Bremen,34,15,8,11,53,48,53,18
7,8,Kaiserslautern ,34,15,5,14,49,54,50,18
8,9,Wolfsburg,34,12,11,11,60,45,47,18
9,10,FC Köln,34,12,10,12,59,52,46,18
10,11,TSV 1860 München,34,12,8,14,43,55,44,18
11,12,Hansa Rostock,34,12,7,15,34,47,43,18
12,13,Hamburger SV,34,10,11,13,58,58,41,18
13,14,Energie Cottbus,34,12,3,19,38,52,39,18
14,15,Stuttgart,34,9,11,14,42,49,38,18
15,16,SpVgg Unterhaching,34,8,11,15,35,59,35,18
16,17,Eintracht Frankfurt,34,10,5,19,41,68,35,18
17,18,VfL Bochum,34,7,6,21,30,67,27,18
