,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München ,34,22,10,2,68,21,76,18
1,2,Werder Bremen ,34,20,6,8,75,45,66,18
2,3,Schalke 04,34,18,10,6,55,32,64,18
3,4,Hamburger SV ,34,14,12,8,47,26,54,18
4,5,Wolfsburg,34,15,9,10,58,46,54,18
5,6,Stuttgart,34,16,4,14,57,57,52,18
6,7,Bayer Leverkusen ,34,15,6,13,57,40,51,18
7,8,Hannover 96 ,34,13,10,11,54,56,49,18
8,9,Eintracht Frankfurt ,34,12,10,12,43,50,46,18
9,10,Hertha BSC ,34,12,8,14,39,44,44,18
10,11,Karlsruher SC ,34,11,10,13,38,53,43,18
11,12,VfL Bochum,34,10,11,13,48,54,41,18
12,13,Borussia Dortmund ,34,10,10,14,50,62,40,18
13,14,Energie Cottbus,34,9,9,16,35,56,36,18
14,15,Arminia Bielefeld ,34,8,10,16,35,60,34,18
15,16,FC Nürnberg,34,7,10,17,35,51,31,18
16,17,Hansa Rostock ,34,8,6,20,30,52,30,18
17,18,MSV Duisburg ,34,8,5,21,36,55,29,18
