,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Borussia Dortmund,34,21,7,6,62,33,70,18
1,2,Bayer Leverkusen,34,21,6,7,77,38,69,18
2,3,Bayern München,34,20,8,6,65,25,68,18
3,4,Hertha BSC,34,18,7,9,61,38,61,18
4,5,Schalke 04,34,18,7,9,52,36,61,18
5,6,Werder Bremen,34,17,5,12,54,43,56,18
6,7,Kaiserslautern ,34,17,5,12,62,53,56,18
7,8,Stuttgart,34,13,11,10,47,43,50,18
8,9,TSV 1860 München,34,15,5,14,59,59,50,18
9,10,Wolfsburg,34,13,7,14,57,49,46,18
10,11,Hamburger SV,34,10,10,14,51,57,40,18
11,12,Borussia M´gladbach,34,9,12,13,41,53,39,18
12,13,Energie Cottbus,34,9,8,17,36,60,35,18
13,14,Hansa Rostock,34,9,7,18,35,54,34,18
14,15,FC Nürnberg,34,10,4,20,34,57,34,18
15,16,SC Freiburg ,34,7,9,18,37,64,30,18
16,17,FC Köln,34,7,8,19,26,61,29,18
17,18,FC St. Pauli ,34,4,10,20,37,70,22,18
