,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,27,3,4,92,28,84,18
1,2,Schalke 04,34,18,9,7,53,37,63,18
2,3,TSG Hoffenheim,34,15,10,9,66,48,55,18
3,4,Borussia Dortmund,34,15,10,9,64,47,55,18
4,5,Bayer Leverkusen,34,15,10,9,58,44,55,18
5,6,RB Leipzig,34,15,8,11,57,53,53,18
6,7,Stuttgart,34,15,6,13,36,36,51,18
7,8,Eintracht Frankfurt,34,14,7,13,45,45,49,18
8,9,Borussia M´gladbach,34,13,8,13,47,52,47,18
9,10,Hertha BSC,34,10,13,11,43,46,43,18
10,11,Werder Bremen,34,10,12,12,37,40,42,18
11,12,FC Augsburg,34,10,11,13,43,46,41,18
12,13,Hannover 96,34,10,9,15,44,54,39,18
13,14,Mainz,34,9,9,16,38,52,36,18
14,15,SC Freiburg,34,8,12,14,32,56,36,18
15,16,Wolfsburg,34,6,15,13,36,48,33,18
16,17,Hamburger SV,34,8,7,19,29,53,31,18
17,18,FC Köln,34,5,7,22,35,70,22,18
