,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,25,7,2,89,22,82,18
1,2,RB Leipzig,34,20,7,7,66,39,67,18
2,3,Borussia Dortmund,34,18,10,6,72,40,64,18
3,4,TSG Hoffenheim,34,16,14,4,64,37,62,18
4,5,FC Köln,34,12,13,9,51,42,49,18
5,6,Hertha BSC,34,15,4,15,43,47,49,18
6,7,SC Freiburg,34,14,6,14,42,60,48,18
7,8,Werder Bremen,34,13,6,15,61,64,45,18
8,9,Borussia M´gladbach,34,12,9,13,45,49,45,18
9,10,Schalke 04,34,11,10,13,45,40,43,18
10,11,Eintracht Frankfurt,34,11,9,14,36,43,42,18
11,12,Bayer Leverkusen,34,11,8,15,53,55,41,18
12,13,FC Augsburg,34,9,11,14,35,51,38,18
13,14,Hamburger SV,34,10,8,16,33,61,38,18
14,15,Mainz,34,10,7,17,44,55,37,18
15,16,Wolfsburg,34,10,7,17,34,52,37,18
16,17,FC Ingolstadt 04,34,8,8,18,36,57,32,18
17,18,Darmstadt 98,34,7,4,23,28,63,25,18
