,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Chelsea ,38,29,8,1,72,15,95,20
1,2,Arsenal ,38,25,8,5,87,36,83,20
2,3,Manchester United,38,22,11,5,58,26,77,20
3,4,Everton,38,18,7,13,45,46,61,20
4,5,Liverpool ,38,17,7,14,52,41,58,20
5,6,Bolton,38,16,10,12,49,44,58,20
6,7,Middlesbrough ,38,14,13,11,53,46,55,20
7,8,Tottenham ,38,14,10,14,47,41,52,20
8,9,Manchester City,38,13,13,12,47,39,52,20
9,10,Aston Villa ,38,12,11,15,45,52,47,20
10,11,Charlton Athletic ,38,12,10,16,42,58,46,20
11,12,Birmingham City,38,11,12,15,40,46,45,20
12,13,Fulham ,38,12,8,18,52,60,44,20
13,14,Newcastle ,38,10,14,14,47,57,44,20
14,15,Blackburn Rovers,38,9,15,14,32,43,42,20
15,16,Portsmouth ,38,10,9,19,43,59,39,20
16,17,West Bromwich ,38,6,16,16,36,61,34,20
17,18,Norwich City ,38,7,12,19,42,77,33,20
18,19,Crystal Palace ,38,7,12,19,41,62,33,20
19,20,Southampton ,38,6,14,18,45,66,32,20
