,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester City,38,32,2,4,95,23,98,20
1,2,Liverpool,38,30,7,1,89,22,97,20
2,3,Chelsea,38,21,9,8,63,39,72,20
3,4,Tottenham,38,23,2,13,67,39,71,20
4,5,Arsenal,38,21,7,10,73,51,70,20
5,6,Manchester United,38,19,9,10,65,54,66,20
6,7,Wolverhampton,38,16,9,13,47,46,57,20
7,8,Everton,38,15,9,14,54,46,54,20
8,9,Leicester City,38,15,7,16,51,48,52,20
9,10,West Ham,38,15,7,16,52,55,52,20
10,11,Watford,38,14,8,16,52,59,50,20
11,12,Crystal Palace,38,14,7,17,51,53,49,20
12,13,Newcastle,38,12,9,17,42,48,45,20
13,14,AFC Bournemouth,38,13,6,19,56,70,45,20
14,15,Burnley,38,11,7,20,45,68,40,20
15,16,Southampton,38,9,12,17,45,65,39,20
16,17,Brighton & Hove Albion,38,9,9,20,35,60,36,20
17,18,Cardiff City,38,10,4,24,34,69,34,20
18,19,Fulham,38,7,5,26,34,81,26,20
19,20,Huddersfield Town,38,3,7,28,22,76,16,20
