,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester United,38,25,8,5,74,34,83,20
1,2,Arsenal ,38,23,9,6,85,42,78,20
2,3,Newcastle ,38,21,6,11,63,48,69,20
3,4,Chelsea ,38,19,10,9,68,38,67,20
4,5,Liverpool ,38,18,10,10,61,41,64,20
5,6,Blackburn Rovers,38,16,12,10,52,43,60,20
6,7,Everton,38,17,8,13,48,49,59,20
7,8,Southampton ,38,13,13,12,43,46,52,20
8,9,Manchester City,38,15,6,17,47,54,51,20
9,10,Tottenham ,38,14,8,16,51,62,50,20
10,11,Middlesbrough ,38,13,10,15,48,44,49,20
11,12,Charlton Athletic ,38,14,7,17,45,56,49,20
12,13,Birmingham City,38,13,9,16,41,49,48,20
13,14,Fulham ,38,13,9,16,41,50,48,20
14,15,Leeds United ,38,14,5,19,58,57,47,20
15,16,Aston Villa ,38,12,9,17,42,47,45,20
16,17,Bolton,38,10,14,14,41,51,44,20
17,18,West Ham ,38,10,12,16,42,59,42,20
18,19,West Bromwich ,38,6,8,24,29,65,26,20
19,20,Sunderland ,38,4,7,27,21,65,19,20
