,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester City,38,27,5,6,102,37,86,20
1,2,Liverpool,38,26,6,6,101,50,84,20
2,3,Chelsea,38,25,7,6,71,27,82,20
3,4,Arsenal,38,24,7,7,68,41,79,20
4,5,Everton,38,21,9,8,61,39,72,20
5,6,Tottenham,38,21,6,11,55,51,69,20
6,7,Manchester United,38,19,7,12,64,43,64,20
7,8,Southampton,38,15,11,12,54,46,56,20
8,9,Stoke City,38,13,11,14,45,52,50,20
9,10,Newcastle,38,15,4,19,43,59,49,20
10,11,Crystal Palace,38,13,6,19,33,48,45,20
11,12,Swansea City,38,11,9,18,54,54,42,20
12,13,West Ham,38,11,7,20,40,51,40,20
13,14,Sunderland,38,10,8,20,41,60,38,20
14,15,Aston Villa,38,10,8,20,39,61,38,20
15,16,Hull City,38,10,7,21,38,53,37,20
16,17,West Bromwich,38,7,15,16,43,59,36,20
17,18,Norwich City,38,8,9,21,28,62,33,20
18,19,Fulham,38,9,5,24,40,85,32,20
19,20,Cardiff City,38,7,9,22,32,74,30,20
