,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester United,38,27,6,5,80,22,87,20
1,2,Chelsea ,38,25,10,3,65,26,85,20
2,3,Arsenal ,38,24,11,3,74,31,83,20
3,4,Liverpool ,38,21,13,4,67,28,76,20
4,5,Everton,38,19,8,11,55,33,65,20
5,6,Aston Villa ,38,16,12,10,71,51,60,20
6,7,Blackburn Rovers,38,15,13,10,50,48,58,20
7,8,Portsmouth ,38,16,9,13,48,40,57,20
8,9,Manchester City,38,15,10,13,45,53,55,20
9,10,West Ham ,38,13,10,15,42,50,49,20
10,11,Tottenham ,38,11,13,14,66,61,46,20
11,12,Newcastle ,38,11,10,17,45,65,43,20
12,13,Middlesbrough ,38,10,12,16,43,53,42,20
13,14,Wigan Athletic ,38,10,10,18,34,51,40,20
14,15,Sunderland ,38,11,6,21,36,59,39,20
15,16,Bolton,38,9,10,19,36,54,37,20
16,17,Fulham ,38,8,12,18,38,60,36,20
17,18,Reading ,38,10,6,22,41,66,36,20
18,19,Birmingham City,38,8,11,19,46,62,35,20
19,20,Derby County ,38,1,8,29,20,89,11,20
