,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Willem II,38,24,7,7,78,38,79,20
1,2,FC Dordrecht,38,21,10,7,83,50,73,20
2,3,Excelsior,38,18,12,8,70,39,66,20
3,4,Den Bosch,38,18,8,12,61,60,62,20
4,5,VVV-Venlo,38,18,7,13,58,52,61,20
5,6,FC Eindhoven,38,18,6,14,69,60,60,20
6,7,De Graafschap,38,16,10,12,67,48,58,20
7,8,Fortuna Sittard,38,15,11,12,59,45,56,20
8,9,FC Volendam,38,16,8,14,67,71,56,20
9,10,PSV B,38,15,9,14,62,57,54,20
10,11,MVV,38,15,8,15,46,46,53,20
11,12,FC Emmen,38,14,9,15,64,68,51,20
12,13,Helmond Sport,38,13,12,13,62,67,51,20
13,14,Ajax B,38,15,5,18,57,72,50,20
14,15,Telstar,38,13,6,19,50,79,45,20
15,16,Sparta Rotterdam,38,12,8,18,58,51,44,20
16,17,FC Twente B,38,12,7,19,47,61,43,20
17,18,Almere City FC,38,11,8,19,49,65,41,20
18,19,FC Oss,38,9,4,25,49,78,31,20
19,20,RKSV Achilles ´29,38,6,7,25,40,89,25,20
