,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Den Bosch,36,22,8,6,85,48,74,19
1,2,Excelsior,36,22,8,6,70,39,74,19
2,3,Sparta Rotterdam,36,21,6,9,76,43,69,19
3,4,Heracles Almelo,36,19,10,7,71,42,67,19
4,5,Helmond Sport,36,19,8,9,66,42,65,19
5,6,De Graafschap,36,18,10,8,63,43,64,19
6,7,VVV-Venlo,36,19,4,13,76,62,61,19
7,8,FC Emmen,36,17,10,9,65,54,61,19
8,9,Go Ahead Eagles,36,15,8,13,79,63,53,19
9,10,AGOVV Apeldoorn,36,14,8,14,63,54,50,19
10,11,SV TOP,36,12,9,15,57,60,45,19
11,12,IJVV Stormvogels,36,12,8,16,55,62,44,19
12,13,Haarlem,36,10,9,17,41,63,39,19
13,14,Veendam,36,7,15,14,46,71,36,19
14,15,FC Dordrecht,36,5,15,16,33,60,30,19
15,16,FC Eindhoven,36,6,12,18,40,69,30,19
16,17,SC Cambuur,36,6,10,20,35,65,28,19
17,18,MVV,36,6,10,20,32,70,28,19
18,19,Fortuna Sittard,36,3,10,23,38,81,19,19
