,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,NEC,38,33,2,3,100,32,101,20
1,2,FC Eindhoven,38,26,2,10,70,39,80,20
2,3,Roda,38,21,6,11,69,58,69,20
3,4,FC Emmen,38,19,10,9,88,57,67,20
4,5,FC Volendam,38,18,8,12,83,68,62,20
5,6,De Graafschap,38,18,7,13,73,49,61,20
6,7,VVV-Venlo,38,16,12,10,48,43,60,20
7,8,Sparta Rotterdam,38,16,10,12,72,46,58,20
8,9,FC Oss,38,17,5,16,73,67,56,20
9,10,Almere City FC,38,13,9,16,64,63,48,20
10,11,MVV,38,14,6,18,51,70,48,20
11,12,Ajax B,38,12,11,15,64,67,47,20
12,13,FC Twente B,38,12,11,15,49,64,47,20
13,14,PSV B,38,11,13,14,50,56,46,20
14,15,Telstar,38,12,6,20,53,68,42,20
15,16,Den Bosch,38,10,9,19,46,61,39,20
16,17,Helmond Sport,38,10,8,20,52,85,38,20
17,18,RKSV Achilles ´29,38,8,9,21,44,71,33,20
18,19,Fortuna Sittard,38,7,8,23,30,72,29,20
19,20,RKC Waalwijk,38,7,8,23,39,82,29,20
