,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Valladolid ,42,26,10,6,70,35,88,22
1,2,Almería ,42,24,8,10,73,49,80,22
2,3,Real Murcia ,42,21,13,8,62,45,76,22
3,4,Ciudad Murcia ,42,18,9,15,52,44,63,22
4,5,Cádiz ,42,15,16,11,53,45,61,22
5,6,Albacete,42,16,12,14,49,48,60,22
6,7,Tenerife ,42,18,6,18,48,51,60,22
7,8,Xerez ,42,16,10,16,47,42,58,22
8,9,Numancia ,42,15,13,14,48,44,58,22
9,10,Poli Ejido ,42,16,10,16,52,50,58,22
10,11,Elche ,42,16,10,16,47,46,58,22
11,12,Salamanca ,42,15,12,15,53,50,57,22
12,13,Castellón ,42,15,11,16,48,41,56,22
13,14,Sporting Gijón ,42,16,8,18,53,53,56,22
14,15,Málaga ,42,14,13,15,49,50,55,22
15,16,Hércules ,42,14,12,16,48,52,54,22
16,17,Alavés ,42,13,13,16,51,60,52,22
17,18,Las Palmas ,42,13,12,17,51,59,51,22
18,19,Real Madrid ,42,13,10,19,55,67,49,22
19,20,Ponferradina ,42,11,13,18,45,61,46,22
20,21,Lorca Deportiva ,42,9,10,23,37,60,37,22
21,22,Vecindario ,42,9,7,26,42,81,34,22
