,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Real Sociedad,42,20,14,8,53,37,74,22
1,2,Hércules,42,19,14,9,61,34,71,22
2,3,Levante,42,19,14,9,63,45,71,22
3,4,Real Betis,42,19,14,9,61,38,71,22
4,5,Cartagena,42,18,11,13,58,49,65,22
5,6,Elche,42,18,9,15,67,57,63,22
6,7,Villarreal B,42,16,13,13,60,56,61,22
7,8,Numancia,42,16,11,15,55,53,59,22
8,9,Recreativo,42,14,15,13,40,42,57,22
9,10,Córdoba,42,14,13,15,40,46,55,22
10,11,Rayo Vallecano,42,13,14,15,67,58,53,22
11,12,Celta de Vigo,42,13,13,16,38,44,52,22
12,13,Huesca,42,12,16,14,36,40,52,22
13,14,Girona,42,13,13,16,45,59,52,22
14,15,Albacete,42,12,16,14,60,62,52,22
15,16,Salamanca,42,13,13,16,44,54,52,22
16,17,Las Palmas,42,12,15,15,49,49,51,22
17,18,Nàstic,42,14,9,19,42,55,51,22
18,19,Cádiz,42,12,14,16,49,64,50,22
19,20,Real Murcia,42,11,17,14,49,51,50,22
20,21,Real Unión,42,12,10,20,40,59,46,22
21,22,Castellón,42,7,12,23,37,62,33,22
