,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Levante,42,22,13,7,59,33,79,22
1,2,Numancia,42,22,10,10,60,30,76,22
2,3,Getafe,42,20,16,6,55,38,76,22
3,4,Alavés,42,20,14,8,48,32,74,22
4,5,Sporting Gijón,42,20,10,12,58,40,70,22
5,6,Recreativo,42,14,20,8,45,34,62,22
6,7,Cádiz,42,17,10,15,52,47,61,22
7,8,Tenerife,42,11,21,10,40,40,54,22
8,9,Xerez,42,12,18,12,47,49,54,22
9,10,Eibar,42,12,16,14,44,39,52,22
10,11,Salamanca,42,10,21,11,47,44,51,22
11,12,Almería,42,11,17,14,45,49,50,22
12,13,Terrassa,42,12,14,16,45,50,50,22
13,14,Elche,42,13,11,18,50,63,50,22
14,15,Córdoba,42,11,16,15,37,42,49,22
15,16,Málaga B,42,11,16,15,46,56,49,22
16,17,Poli Ejido,42,12,13,17,29,40,49,22
17,18,Ciudad Murcia,42,11,16,15,51,63,49,22
18,19,Leganés,42,9,19,14,36,47,46,22
19,20,Las Palmas,42,10,14,18,46,68,44,22
20,21,Rayo Vallecano,42,11,10,21,45,63,43,22
21,22,Algeciras,42,6,15,21,39,57,33,22
