,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,AZ Alkmaar,34,26,4,4,86,25,82,24
1,2,FC Utrecht,34,25,6,3,79,23,81,24
2,3,Heerenveen,34,22,10,2,68,23,76,24
3,4,FC Utrecht,34,18,8,8,54,38,62,24
4,5,FC Groningen,34,15,6,13,51,40,51,24
5,6,AZ Alkmaar,34,12,13,9,56,52,49,24
6,7,Feyenoord,34,12,9,13,48,50,45,24
7,8,Ajax,34,10,13,11,55,51,43,24
8,9,PSV,34,12,7,15,54,53,43,24
9,10,FC Utrecht,34,12,7,15,53,55,43,24
10,11,Vitesse,34,11,5,18,37,59,38,24
11,12,AZ Alkmaar,34,9,10,15,43,60,37,24
12,13,FC Twente,34,9,9,16,29,44,36,24
13,14,FC Groningen,34,9,8,17,39,67,35,24
14,15,Heerenveen,34,9,7,18,42,61,34,24
15,16,Heracles Almelo,34,9,7,18,32,59,34,24
16,17,ADO Den Haag,34,7,12,15,26,51,33,24
17,18,Excelsior,34,6,5,23,32,73,23,24
18,19,Willem II,,,,,,,,24
19,20,Zwolle,,,,,,,,24
20,21,Sparta Rotterdam,,,,,,,,24
21,22,NEC,,,,,,,,24
22,23,Roda,,,,,,,,24
23,24,Go Ahead Eagles,,,,,,,,24
