,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Vitesse,34,26,5,3,87,39,83,24
1,2,FC Utrecht,34,25,4,5,89,33,79,24
2,3,ADO Den Haag,34,22,5,7,72,38,71,24
3,4,Vitesse,34,20,6,8,76,39,66,24
4,5,Heerenveen,34,14,12,8,58,53,54,24
5,6,FC Utrecht,34,13,10,11,63,47,49,24
6,7,PSV,34,13,8,13,45,53,47,24
7,8,Ajax,34,12,10,12,48,53,46,24
8,9,AZ Alkmaar,34,12,8,14,42,54,44,24
9,10,Feyenoord,34,11,9,14,50,64,42,24
10,11,FC Utrecht,34,11,7,16,41,56,40,24
11,12,Vitesse,34,8,14,12,50,50,38,24
12,13,ADO Den Haag,34,10,7,17,50,63,37,24
13,14,Heerenveen,34,9,7,18,41,57,34,24
14,15,Zwolle,34,7,13,14,35,54,34,24
15,16,Heracles Almelo,34,8,6,20,42,69,30,24
16,17,Excelsior,34,7,6,21,34,75,27,24
17,18,FC Groningen,34,5,9,20,37,63,24,24
18,19,Willem II,,,,,,,,24
19,20,NAC Breda,,,,,,,,24
20,21,VVV-Venlo,,,,,,,,24
21,22,Roda,,,,,,,,24
22,23,Sparta Rotterdam,,,,,,,,24
23,24,FC Twente,,,,,,,,24
