,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Fortuna Düsseldorf,34,19,6,9,57,44,63,18
1,2,FC Nürnberg,34,17,9,8,61,39,60,18
2,3,Holstein Kiel,34,14,14,6,71,44,56,18
3,4,Arminia Bielefeld,34,12,12,10,51,47,48,18
4,5,Jahn Regensburg,34,14,6,14,53,53,48,18
5,6,VfL Bochum,34,13,9,12,37,40,48,18
6,7,MSV Duisburg,34,13,9,12,52,56,48,18
7,8,1. FC Union Berlin,34,12,11,11,54,46,47,18
8,9,FC Ingolstadt 04,34,12,9,13,47,45,45,18
9,10,Darmstadt 98,34,10,13,11,47,45,43,18
10,11,SV Sandhausen,34,11,10,13,35,33,43,18
11,12,FC St. Pauli,34,11,10,13,35,48,43,18
12,13,1. FC Heidenheim 1846,34,11,9,14,50,56,42,18
13,14,Dynamo Dresden,34,11,8,15,42,52,41,18
14,15,SpVgg Greuther Fürth,34,10,10,14,37,48,40,18
15,16,Erzgebirge Aue,34,10,10,14,35,49,40,18
16,17,Eintracht Braunschweig,34,8,15,11,37,43,39,18
17,18,Kaiserslautern,34,9,8,17,42,55,35,18
