,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Karlsruher SC,34,21,7,6,69,41,70,18
1,2,Hansa Rostock,34,16,14,4,49,30,62,18
2,3,MSV Duisburg,34,16,12,6,66,40,60,18
3,4,SC Freiburg,34,17,9,8,55,39,60,18
4,5,SpVgg Greuther Fürth,34,16,6,12,53,40,54,18
5,6,Kaiserslautern,34,13,14,7,48,34,53,18
6,7,FC Augsburg,34,14,10,10,43,32,52,18
7,8,TSV 1860 München,34,14,6,14,47,49,48,18
8,9,FC Köln,34,12,10,12,49,50,46,18
9,10,Erzgebirge Aue,34,13,6,15,46,48,45,18
10,11,SC Paderborn 07,34,11,9,14,32,41,42,18
11,12,TuS Koblenz,34,11,8,15,36,45,41,18
12,13,FC Carl Zeiss Jena,34,9,11,14,40,56,38,18
13,14,Kickers Offenbach,34,9,9,16,42,59,36,18
14,15,Rot-Weiss Essen,34,8,11,15,34,40,35,18
15,16,SpVgg Unterhaching,34,9,8,17,33,49,35,18
16,17,Wacker Burghausen,34,7,11,16,42,63,32,18
17,18,Eintracht Braunschweig,34,4,11,19,20,48,23,18
