,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Stuttgart,34,21,6,7,63,37,69,18
1,2,Hannover 96,34,19,10,5,51,32,67,18
2,3,Eintracht Braunschweig,34,19,9,6,50,36,66,18
3,4,1. FC Union Berlin,34,18,6,10,51,39,60,18
4,5,Dynamo Dresden,34,13,11,10,53,46,50,18
5,6,1. FC Heidenheim 1846,34,12,10,12,43,39,46,18
6,7,FC St. Pauli,34,12,9,13,39,35,45,18
7,8,SpVgg Greuther Fürth,34,12,9,13,33,40,45,18
8,9,VfL Bochum,34,10,14,10,42,47,44,18
9,10,SV Sandhausen,34,10,12,12,41,36,42,18
10,11,Fortuna Düsseldorf,34,10,12,12,37,39,42,18
11,12,FC Nürnberg,34,12,6,16,46,52,42,18
12,13,Kaiserslautern,34,10,11,13,29,33,41,18
13,14,Erzgebirge Aue,34,10,9,15,37,52,39,18
14,15,Arminia Bielefeld,34,8,13,13,50,54,37,18
15,16,TSV 1860 München,34,10,6,18,37,47,36,18
16,17,Wurzburger Kickers,34,7,13,14,32,41,34,18
17,18,Karlsruher SC,34,5,10,19,27,56,25,18
