,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Hertha BSC,34,22,10,2,65,28,76,18
1,2,Eintracht Braunschweig,34,19,10,5,52,34,67,18
2,3,Kaiserslautern,34,15,13,6,55,33,58,18
3,4,FSV Frankfurt,34,16,6,12,55,45,54,18
4,5,FC Köln,34,14,12,8,43,33,54,18
5,6,TSV 1860 München,34,12,13,9,39,31,49,18
6,7,1. FC Union Berlin,34,13,10,11,50,49,49,18
7,8,Energie Cottbus,34,12,12,10,41,36,48,18
8,9,VfR Aalen,34,12,10,12,40,39,46,18
9,10,FC St. Pauli,34,11,10,13,44,47,43,18
10,11,MSV Duisburg,34,11,10,13,37,49,43,18
11,12,SC Paderborn 07,34,11,9,14,45,45,42,18
12,13,FC Ingolstadt 04,34,10,12,12,36,43,42,18
13,14,VfL Bochum,34,10,8,16,40,52,38,18
14,15,Erzgebirge Aue,34,9,10,15,39,46,37,18
15,16,Dynamo Dresden,34,9,10,15,35,49,37,18
16,17,SV Sandhausen,34,6,8,20,38,66,26,18
17,18,Jahn Regensburg,34,4,7,23,36,65,19,18
