,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Köln,34,19,8,7,68,39,65,18
1,2,VfL Bochum,34,18,7,9,67,48,61,18
2,3,Energie Cottbus,34,18,4,12,62,42,58,18
3,4,FC Nürnberg,34,15,10,9,54,46,55,18
4,5,Borussia M´gladbach,34,14,12,8,60,43,54,18
5,6,RW Oberhausen,34,12,13,9,43,34,49,18
6,7,SpVgg Greuther Fürth,34,10,16,8,40,39,46,18
7,8,Alemannia Aachen,34,12,10,12,46,54,46,18
8,9,Mainz,34,11,12,11,41,42,45,18
9,10,Hannover 96,34,12,8,14,56,56,44,18
10,11,Chemnitzer FC,34,11,10,13,42,49,43,18
11,12,SV Waldhof Mannheim 07,34,10,12,12,50,56,42,18
12,13,Tennis Berlin,34,10,10,14,42,50,40,18
13,14,FC St. Pauli,34,8,15,11,37,45,39,18
14,15,Stuttgarter Kickers,34,10,9,15,49,58,39,18
15,16,SC Fortuna Köln,34,8,11,15,38,50,35,18
16,17,Kickers Offenbach,34,8,11,15,35,58,35,18
17,18,Karlsruher SC,34,5,12,17,35,56,27,18
