,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Leixões ,30,18,6,6,45,21,60,16
1,2,Vitória SC,30,16,7,7,44,20,55,16
2,3,Rio Ave ,30,15,8,7,44,37,53,16
3,4,Santa Clara ,30,15,5,10,34,31,50,16
4,5,Gondomar SC,30,13,6,11,33,30,45,16
5,6,Feirense ,30,11,11,8,38,26,44,16
6,7,Varzim ,30,12,8,10,34,37,44,16
7,8,FC Penafiel,30,10,11,9,23,27,41,16
8,9,Olhanense ,30,10,10,10,29,31,40,16
9,10,Estoril Praia ,30,10,7,13,30,35,37,16
10,11,Trofense ,30,9,9,12,27,26,36,16
11,12,Gil Vicente ,30,12,9,9,27,27,36,16
12,13,FC Vizela,30,9,7,14,29,32,34,16
13,14,Portimonense ,30,7,9,14,28,42,30,16
14,15,Olivais e Moscavide,30,7,6,17,26,42,27,16
15,16,GD Chaves,30,3,7,20,16,43,16,16
