,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Moreirense,34,19,7,8,55,35,64,18
1,2,Nacional,34,18,8,8,62,39,62,18
2,3,Académica OAF,34,17,11,6,60,49,62,18
3,4,Est. Amadora,34,16,9,9,44,38,57,18
4,5,GD Chaves,34,16,4,14,52,44,52,18
5,6,Portimonense,34,13,13,8,44,37,52,18
6,7,CD Aves,34,14,5,15,50,51,47,18
7,8,Rio Ave,34,12,10,12,45,36,46,18
8,9,Maia,34,12,10,12,50,43,46,18
9,10,Campomaiorense,34,13,6,15,48,50,45,18
10,11,Leça FC,34,11,11,12,38,37,44,18
11,12,Naval,34,10,12,12,54,50,42,18
12,13,U. Lamas,34,11,8,15,33,47,41,18
13,14,Ovarense,34,10,10,14,42,52,40,18
14,15,FC Penafiel,34,9,11,14,27,38,38,18
15,16,FC Felgueiras,34,10,8,16,36,52,38,18
16,17,SC Espinho,34,9,7,18,31,49,34,18
17,18,UD Oliveirense,34,6,10,18,44,68,28,18
