,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Nacional,38,19,14,5,72,45,71,20
1,2,Santa Clara,38,19,9,10,55,40,66,20
2,3,Académico de Viseu,38,17,13,8,50,40,64,20
3,4,Académica OAF,38,19,6,13,59,40,63,20
4,5,FC Penafiel,38,17,11,10,55,43,62,20
5,6,FC Arouca,38,16,11,11,42,37,59,20
6,7,FC Porto B,38,18,4,16,50,55,58,20
7,8,Leixões,38,14,14,10,50,43,56,20
8,9,CD Cova Piedade,38,14,9,15,42,45,51,20
9,10,Varzim,38,13,11,14,41,41,50,20
10,11,Vitória SC B,38,14,8,16,44,49,50,20
11,12,UD Oliveirense,38,13,10,15,45,47,49,20
12,13,Benfica B,38,14,7,17,54,60,49,20
13,14,FC Famalicão,38,13,9,16,46,49,48,20
14,15,SC Covilhã,38,12,11,15,32,41,47,20
15,16,Braga B,38,10,14,14,44,48,44,20
16,17,União Madeira,38,12,8,18,44,53,44,20
17,18,Sporting B,38,11,9,18,46,65,42,20
18,19,Gil Vicente,38,8,12,18,29,45,36,20
19,20,Real SC,38,8,8,22,47,61,32,20
