,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Olhanense ,30,18,4,8,52,32,58,16
1,2,UD Leiria,30,15,9,6,46,29,54,16
2,3,Santa Clara ,30,15,7,8,45,32,52,16
3,4,Estoril Praia ,30,12,8,10,41,37,44,16
4,5,Feirense ,30,11,9,10,37,34,42,16
5,6,Freamunde ,30,11,8,11,32,35,41,16
6,7,SC Covilhã,30,10,10,10,42,42,40,16
7,8,Varzim ,30,11,6,13,29,35,39,16
8,9,Gil Vicente ,30,8,14,8,36,37,38,16
9,10,FC Vizela,30,7,16,7,28,33,37,16
10,11,CD Aves,30,9,9,12,30,36,36,16
11,12,Beira-Mar ,30,8,11,11,32,32,35,16
12,13,Portimonense ,30,7,14,9,29,35,35,16
13,14,UD Oliveirense ,30,7,11,12,25,33,32,16
14,15,Boavista ,30,9,5,16,28,44,32,16
15,16,Gondomar SC,30,7,9,14,29,35,30,16
