,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Beira-Mar ,34,18,14,2,45,18,68,18
1,2,CD Aves,34,18,10,6,47,30,64,18
2,3,Leixões ,34,17,11,6,47,19,62,18
3,4,Olhanense ,34,13,13,8,41,28,52,18
4,5,Varzim ,34,13,13,8,47,39,52,18
5,6,Gondomar SC,34,14,9,11,56,41,51,18
6,7,Santa Clara ,34,13,12,9,45,32,51,18
7,8,GD Chaves,34,13,11,10,40,36,50,18
8,9,Estoril Praia ,34,11,12,11,44,43,45,18
9,10,Feirense ,34,12,8,14,44,44,44,18
10,11,FC Vizela,34,11,11,12,42,48,44,18
11,12,Portimonense ,34,10,13,11,36,36,43,18
12,13,Moreirense ,34,11,9,14,36,37,42,18
13,14,SC Covilhã,34,10,12,12,37,42,42,18
14,15,Barreirense ,34,8,11,15,31,41,35,18
15,16,FC Marco ,34,7,8,19,32,63,29,18
16,17,Ovarense ,34,6,7,21,36,72,25,18
17,18,Maia ,34,6,6,22,30,67,24,18
