,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Cittadella,36.0,18.0,13.0,5.0,69.0,42.0,67.0,31
1,2,Hellas Verona,36.0,19.0,9.0,8.0,66.0,45.0,66.0,31
2,3,Cittadella,36.0,17.0,9.0,10.0,61.0,45.0,60.0,31
3,4,Benevento,36.0,14.0,13.0,9.0,50.0,46.0,55.0,31
4,5,Hellas Verona,36.0,13.0,13.0,10.0,46.0,46.0,52.0,31
5,6,Pescara,36.0,14.0,9.0,13.0,53.0,46.0,51.0,31
6,7,Spezia,36.0,12.0,15.0,9.0,49.0,38.0,51.0,31
7,8,Cittadella,36.0,14.0,8.0,14.0,49.0,49.0,50.0,31
8,9,Hellas Verona,36.0,12.0,13.0,11.0,37.0,33.0,49.0,31
9,10,Perugia,36.0,11.0,13.0,12.0,34.0,39.0,46.0,31
10,11,Salernitana,36.0,16.0,15.0,5.0,57.0,38.0,43.0,31
11,12,Venezia,36.0,11.0,10.0,15.0,40.0,42.0,43.0,31
12,13,Brescia,36.0,10.0,13.0,13.0,40.0,56.0,43.0,31
13,14,Lecce,36.0,9.0,12.0,15.0,38.0,51.0,39.0,31
14,15,Benevento,36.0,8.0,14.0,14.0,35.0,46.0,38.0,31
15,16,Pescara,36.0,10.0,8.0,18.0,41.0,57.0,38.0,31
16,17,Hellas Verona,36.0,10.0,13.0,13.0,44.0,49.0,37.0,31
17,18,Spezia,36.0,5.0,16.0,15.0,36.0,49.0,31.0,31
18,19,Cittadella,36.0,7.0,8.0,21.0,39.0,67.0,29.0,31
19,20,Perugia,,,,,,,,31
20,21,Cremonese,,,,,,,,31
21,22,Cosenza,,,,,,,,31
22,23,Palermo,,,,,,,,31
23,24,Crotone,,,,,,,,31
24,25,Ascoli,,,,,,,,31
25,26,Livorno,,,,,,,,31
26,27,Venezia,,,,,,,,31
27,28,Salernitana,,,,,,,,31
28,29,Foggia Calcio,,,,,,,,31
29,30,Padova,,,,,,,,31
30,31,Carpi,,,,,,,,31
