,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Padova,42.0,22.0,13.0,7.0,61.0,35.0,79.0,30
1,2,Novara,42.0,21.0,14.0,7.0,67.0,35.0,77.0,30
2,3,Reggina,42.0,18.0,16.0,8.0,63.0,38.0,70.0,30
3,4,Novara,42.0,16.0,20.0,6.0,51.0,34.0,68.0,30
4,5,Padova,42.0,15.0,17.0,10.0,63.0,48.0,62.0,30
5,6,Varese,42.0,15.0,16.0,11.0,46.0,40.0,61.0,30
6,7,Piacenza,42.0,15.0,14.0,13.0,49.0,46.0,59.0,30
7,8,AlbinoLeffe,42.0,15.0,13.0,14.0,49.0,48.0,58.0,30
8,9,Atalanta,42.0,13.0,18.0,11.0,46.0,39.0,57.0,30
9,10,AC Siena,42.0,12.0,19.0,11.0,46.0,51.0,55.0,30
10,11,Novara,42.0,13.0,15.0,14.0,45.0,50.0,54.0,30
11,12,Varese,42.0,15.0,9.0,18.0,44.0,54.0,54.0,30
12,13,Padova,42.0,14.0,11.0,17.0,44.0,48.0,53.0,30
13,14,Reggina,42.0,12.0,15.0,15.0,50.0,54.0,51.0,30
14,15,Livorno,42.0,12.0,15.0,15.0,43.0,50.0,51.0,30
15,16,Torino,42.0,13.0,12.0,17.0,42.0,46.0,51.0,30
16,17,Empoli,42.0,14.0,14.0,14.0,44.0,48.0,50.0,30
17,18,Modena,42.0,13.0,10.0,19.0,55.0,66.0,49.0,30
18,19,Crotone,42.0,11.0,13.0,18.0,50.0,63.0,46.0,30
19,20,Vicenza Calcio,42.0,8.0,16.0,18.0,34.0,57.0,40.0,30
20,21,Pescara,42.0,10.0,10.0,22.0,39.0,63.0,40.0,30
21,22,Cittadella,42.0,8.0,14.0,20.0,46.0,64.0,38.0,30
22,23,Grosseto,,,,,,,,30
23,24,Sassuolo,,,,,,,,30
24,25,Ascoli,,,,,,,,30
25,26,AlbinoLeffe,,,,,,,,30
26,27,Piacenza,,,,,,,,30
27,28,Triestina,,,,,,,,30
28,29,Portogruaro,,,,,,,,30
29,30,Frosinone,,,,,,,,30
