,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Real Madrid ,38,27,4,7,84,36,85,20
1,2,Villarreal ,38,24,5,9,63,40,77,20
2,3,Barcelona,38,19,10,9,76,43,67,20
3,4,Atlético Madrid,38,19,7,12,66,47,64,20
4,5,Sevilla ,38,20,4,14,75,49,64,20
5,6,Racing Santander ,38,17,9,12,42,41,60,20
6,7,Mallorca ,38,15,14,9,69,54,59,20
7,8,Almería ,38,14,10,14,42,45,52,20
8,9,Deportivo ,38,15,7,16,46,47,52,20
9,10,Valencia ,38,15,6,17,48,62,51,20
10,11,Athletic ,38,13,11,14,40,43,50,20
11,12,Espanyol ,38,13,9,16,43,53,48,20
12,13,Real Betis ,38,12,11,15,45,51,47,20
13,14,Getafe ,38,12,11,15,44,48,47,20
14,15,Valladolid ,38,11,12,15,42,57,45,20
15,16,Recreativo ,38,11,11,16,40,60,44,20
16,17,Osasuna ,38,12,7,19,37,44,43,20
17,18,Real Zaragoza,38,10,12,16,50,61,42,20
18,19,Real Murcia ,38,7,9,22,36,65,30,20
19,20,Levante ,38,7,5,26,33,75,26,20
