,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Valencia ,38,21,12,5,51,27,75,20
1,2,Deportivo ,38,20,8,10,65,41,68,20
2,3,Real Madrid ,38,19,9,10,69,44,66,20
3,4,Barcelona,38,18,10,10,65,37,64,20
4,5,Celta de Vigo ,38,16,12,10,64,46,60,20
5,6,Real Betis ,38,15,14,9,42,34,59,20
6,7,Alavés ,38,17,3,18,41,44,54,20
7,8,Sevilla ,38,14,11,13,51,40,53,20
8,9,Málaga ,38,13,14,11,44,44,53,20
9,10,Athletic ,38,14,11,13,54,66,53,20
10,11,Rayo Vallecano ,38,13,10,15,46,52,49,20
11,12,Valladolid ,38,13,9,16,45,58,48,20
12,13,Real Sociedad ,38,13,8,17,48,54,47,20
13,14,Espanyol ,38,13,8,17,47,56,47,20
14,15,Villarreal ,38,11,10,17,46,55,43,20
15,16,Mallorca ,38,11,10,17,40,52,43,20
16,17,Osasuna ,38,10,12,16,36,49,42,20
17,18,Las Palmas ,38,9,13,16,40,50,40,20
18,19,Tenerife ,38,10,8,20,32,58,38,20
19,20,Real Zaragoza,38,9,10,19,35,54,37,20
