,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Barcelona,38,30,6,2,95,21,96,20
1,2,Real Madrid,38,29,5,4,102,33,92,20
2,3,Valencia,38,21,8,9,64,44,71,20
3,4,Villarreal,38,18,8,12,54,44,62,20
4,5,Sevilla,38,17,7,14,62,61,58,20
5,6,Athletic,38,18,4,16,59,55,58,20
6,7,Atlético Madrid,38,17,7,14,62,53,58,20
7,8,Espanyol,38,15,4,19,46,55,49,20
8,9,Osasuna,38,13,8,17,45,46,47,20
9,10,Sporting Gijón,38,11,14,13,35,42,47,20
10,11,Málaga,38,13,7,18,54,68,46,20
11,12,Racing Santander,38,12,10,16,41,56,46,20
12,13,Real Zaragoza,38,12,9,17,40,53,45,20
13,14,Levante,38,12,9,17,41,52,45,20
14,15,Real Sociedad,38,14,3,21,49,66,45,20
15,16,Getafe,38,12,8,18,49,60,44,20
16,17,Mallorca,38,12,8,18,41,56,44,20
17,18,Deportivo,38,10,13,15,31,47,43,20
18,19,Hércules,38,9,8,21,36,60,35,20
19,20,Almería,38,6,12,20,36,70,30,20
