,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Barcelona,38,28,9,1,99,29,93,20
1,2,Atlético Madrid,38,23,10,5,58,22,79,20
2,3,Real Madrid,38,22,10,6,94,44,76,20
3,4,Valencia,38,22,7,9,65,38,73,20
4,5,Villarreal,38,18,7,13,57,50,61,20
5,6,Real Betis,38,18,6,14,60,61,60,20
6,7,Sevilla,38,17,7,14,49,58,58,20
7,8,Getafe,38,15,10,13,42,33,55,20
8,9,Eibar,38,14,9,15,44,50,51,20
9,10,Girona,38,14,9,15,50,59,51,20
10,11,Espanyol,38,12,13,13,36,42,49,20
11,12,Real Sociedad,38,14,7,17,66,59,49,20
12,13,Celta de Vigo,38,13,10,15,59,60,49,20
13,14,Alavés,38,15,2,21,40,50,47,20
14,15,Levante,38,11,13,14,44,58,46,20
15,16,Athletic,38,10,13,15,41,49,43,20
16,17,Leganés,38,12,7,19,34,51,43,20
17,18,Deportivo,38,6,11,21,38,76,29,20
18,19,Las Palmas,38,5,7,26,24,74,22,20
19,20,Málaga,38,5,5,28,24,61,20,20
