,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Barcelona,38,25,7,6,80,35,82,20
1,2,Real Madrid ,38,20,10,8,70,40,70,20
2,3,Valencia ,38,19,12,7,58,33,69,20
3,4,Osasuna ,38,21,5,12,49,43,68,20
4,5,Sevilla ,38,20,8,10,54,39,68,20
5,6,Celta de Vigo ,38,20,4,14,45,33,64,20
6,7,Villarreal ,38,14,15,9,50,39,57,20
7,8,Deportivo ,38,15,10,13,47,45,55,20
8,9,Getafe ,38,15,9,14,54,49,54,20
9,10,Atlético Madrid,38,13,13,12,45,37,52,20
10,11,Real Zaragoza,38,10,16,12,46,51,46,20
11,12,Athletic ,38,11,12,15,40,46,45,20
12,13,Mallorca ,38,10,13,15,37,51,43,20
13,14,Real Betis ,38,10,12,16,34,51,42,20
14,15,Espanyol ,38,10,11,17,36,56,41,20
15,16,Real Sociedad ,38,11,7,20,48,65,40,20
16,17,Racing Santander ,38,9,13,16,36,49,40,20
17,18,Alavés ,38,9,12,17,35,54,39,20
18,19,Cádiz ,38,8,12,18,36,52,36,20
19,20,Málaga ,38,5,9,24,36,68,24,20
