,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Barcelona,38,27,6,5,105,35,87,20
1,2,Real Madrid ,38,25,3,10,83,52,78,20
2,3,Sevilla ,38,21,7,10,54,39,70,20
3,4,Atlético Madrid,38,20,7,11,80,57,67,20
4,5,Villarreal ,38,18,11,9,61,54,65,20
5,6,Valencia ,38,18,8,12,68,54,62,20
6,7,Deportivo ,38,16,10,12,48,47,58,20
7,8,Málaga ,38,15,10,13,55,59,55,20
8,9,Mallorca ,38,14,9,15,53,60,51,20
9,10,Espanyol ,38,12,11,15,46,49,47,20
10,11,Almería ,38,13,7,18,45,61,46,20
11,12,Racing Santander ,38,12,10,16,49,48,46,20
12,13,Athletic ,38,12,8,18,47,62,44,20
13,14,Sporting Gijón ,38,14,1,23,47,79,43,20
14,15,Valladolid ,38,12,7,19,46,58,43,20
15,16,Osasuna ,38,10,13,15,41,47,43,20
16,17,Getafe ,38,10,12,16,50,56,42,20
17,18,Real Betis ,38,10,12,16,51,58,42,20
18,19,Numancia ,38,10,5,23,38,69,35,20
19,20,Recreativo ,38,8,9,21,34,57,33,20
