,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Huddersfield Town,46,30,11,5,82,36,101,30
1,2,Sheffield United,46,28,9,9,81,48,93,30
2,3,Stevenage,46,27,9,10,92,51,90,30
3,4,Sheffield United,46,21,18,7,79,47,81,30
4,5,MK Dons,46,22,14,10,84,47,80,30
5,6,Huddersfield Town,46,18,19,9,69,44,73,30
6,7,Charlton Athletic,46,21,10,15,75,63,73,30
7,8,Sheffield Wed.,46,18,15,13,65,66,69,30
8,9,Sheffield United,46,18,13,15,63,52,67,30
9,10,Huddersfield Town,46,15,13,18,48,52,58,30
10,11,MK Dons,45,13,19,13,60,65,58,30
11,12,Stevenage,46,14,14,18,49,53,56,30
12,13,Notts County,46,14,14,18,50,55,56,30
13,14,Carlisle United,46,15,11,20,60,79,56,30
14,15,Brentford,46,13,15,18,54,68,54,30
15,16,AFC Bournemouth,46,14,12,20,59,80,54,30
16,17,Colchester,45,14,11,20,49,65,53,30
17,18,Tranmere Rovers,46,10,22,14,55,59,52,30
18,19,Hartlepool United,46,10,20,16,51,57,50,30
19,20,Bury,46,13,11,22,48,75,50,30
20,21,Preston North End,46,11,10,25,65,88,43,30
21,22,Yeovil Town,46,10,12,24,56,81,42,30
22,23,Oldham Athletic,46,10,12,24,46,75,42,30
23,24,Scunthorpe United,46,8,14,24,47,81,38,30
24,25,Walsall,,,,,,,,30
25,26,Leyton Orient,,,,,,,,30
26,27,Wycombe Wanderers,,,,,,,,30
27,28,Chesterfield,,,,,,,,30
28,29,Exeter City,,,,,,,,30
29,30,Rochdale,,,,,,,,30
